cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes
39,4,16,38,22,30,13,42,39
40,0,16,36,19,18,31,66,34
35,9,17,46,20,40,11,29,46
55,16,28,52,19,56,32,27,24
41,4,16,47,16,36,16,30,31
41,0,15,72,14,55,18,20,40
43,5,13,43,8,28,7,51,46
36,16,19,52,17,0,36,28,67
45,0,17,42,21,27,46,60,37
42,6,16,39,16,21,14,35,39
36,0,23,45,19,54,0,27,31
39,11,8,57,14,26,45,57,28
41,5,18,34,15,32,18,24,38
43,6,13,44,13,30,13,32,45
43,0,0,0,0,0,0,0,0
38,5,14,58,10,28,20,35,41
41,9,19,44,15,42,11,39,40
33,0,13,49,25,49,17,0,23
37,5,15,33,16,25,11,24,30
43,13,14,40,49,55,23,23,13
41,5,15,32,13,28,13,20,31
44,2,14,37,6,27,9,30,32
38,5,17,32,15,29,8,21,34
38,12,19,27,13,35,14,41,28
42,4,15,39,15,32,13,26,33
38,4,18,40,15,25,14,29,36
53,12,18,48,14,55,12,46,45
42,5,15,31,14,29,11,22,29
38,4,12,44,11,29,12,26,32
33,4,16,32,16,22,16,17,30
35,5,13,40,14,30,9,38,27
40,4,17,41,12,35,13,29,35
34,7,13,48,16,19,5,33,34
36,4,22,33,16,49,14,41,24
44,6,17,49,16,34,10,30,46
